Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Fix Version/s,Due Date,Votes,Labels,Description,Environment,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (External issue ID),Custom field (Raised during),Custom field (Rank),Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (Test sessions),Custom field (Testing status),Custom field ([CHART] Date of First Response),Comment,Comment
Der Vortragsservice liefert und mutiert Vorträge die der User bearbeitet,INNT-10,13720,Epic,To Do,INNT,Innovationen & Technologien,software,admin,,,Medium,,,admin,admin,16/Nov/17 3:33 PM,22/Nov/17 3:59 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-7,,Vortragsservice,To Do,,,0|i00193:,,,,,,,,,
User Interface,INNT-2,13712,Epic,To Do,INNT,Innovationen & Technologien,software,admin,,,Medium,,,admin,admin,16/Nov/17 9:52 AM,22/Nov/17 3:58 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-11,,Frontend,To Do,,,0|i0017j:,,,,,,,,,
Restore Password implementieren,INNT-14,13724,Story,To Do,INNT,Innovationen & Technologien,software,admin,,,Medium,,,admin,admin,17/Nov/17 2:00 PM,22/Nov/17 3:56 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},,INNT-2,,,,,0|i0018j:,,,,,,,,,
Authetifizierungsservice,INNT-9,13719,Epic,To Do,INNT,Innovationen & Technologien,software,admin,,,Medium,,,admin,admin,16/Nov/17 3:32 PM,17/Nov/17 2:04 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-13,,Auth Service,To Do,,,0|i0018v:,,,,,,,,,
Nach diesem Epic soll es möglich sein Personen zu administrieren,INNT-16,13726,Epic,To Do,INNT,Innovationen & Technologien,software,admin,,,Medium,,,admin,admin,17/Nov/17 2:02 PM,17/Nov/17 2:03 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-2,,Personen administieren,To Do,,,0|i001a7:,,,,,,,,,
Alles was mit der Persistenz zu tun hat,INNT-15,13725,Epic,To Do,INNT,Innovationen & Technologien,software,admin,,,Medium,,,admin,admin,17/Nov/17 2:01 PM,17/Nov/17 2:01 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-5,,Persistence,To Do,,,0|i0019z:,,,,,,,,,
Zum E-Mail versenden gedacht soll Datenempfangen und E-Mail-Templates verwalten,INNT-13,13723,Epic,To Do,INNT,Innovationen & Technologien,software,admin,,,Medium,,,admin,admin,17/Nov/17 2:00 PM,17/Nov/17 2:00 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-14,,E-Mail Service,To Do,,,0|i0019r:,,,,,,,,,
Microservice um Personen zu verwalten,INNT-8,13718,Epic,To Do,INNT,Innovationen & Technologien,software,admin,,,Medium,,,admin,admin,16/Nov/17 10:38 AM,16/Nov/17 10:38 AM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-12,,Personen Service,To Do,,,0|i0018n:,,,,,,,,,
The user wants to receive or unsubscribe from emails,JWP-111,13500,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,21/Feb/17 1:21 PM,11/Mar/17 7:11 AM,24/Feb/18 2:42 PM,,1.2,,0,,,,admin,,,,,,,,,,{},,JWP-87,,,,,0|i0014n:,,,,,,,,,
der User will die Email verfiziert haben,JWP-37,10036,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,denisbittante,admin,15/Aug/16 12:34 AM,11/Mar/17 7:11 AM,24/Feb/18 2:42 PM,,1.1,,0,Email,,,denisbittante,28800,28800,,0%,28800,28800,,,,{},,JWP-87,,,37,,0|i0012g:i,JwProgra Sprint 5,,,1.0,,,,,
