Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Fix Version/s,Due Date,Votes,Labels,Description,Environment,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (External issue ID),Custom field (Raised during),Custom field (Rank),Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (Test sessions),Custom field (Testing status),Custom field ([CHART] Date of First Response),Comment,Comment
ProgramEdit load Organisation drop down,JWP-61,10704,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,04/Sep/16 7:02 PM,19/Jan/17 10:17 PM,24/Feb/18 2:42 PM,,1.0,,0,,,,admin,28800,28800,,0%,28800,28800,,,,{},,JWP-91,,,,,0|i0000e:ox,JwProgra Sprint 2,JwProgra Sprint 3,,1.0,,,,,
Assignment has to be constrained by the Event in which it is in. If the Event is longer than one day then the Assignment can be also longer then a day else the date is fixed and the time can be changed,JWP-70,10713,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,04/Sep/16 8:03 PM,19/Jan/17 10:17 PM,24/Feb/18 2:42 PM,,1.1,,0,,,,admin,28800,28800,,0%,28800,28800,,,,{},,JWP-91,,,,,0|i000en:,,,,1.0,,,,,
it should be able to search in Assignments,JWP-21,10020,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,denisbittante,admin,13/Aug/16 4:02 AM,19/Jan/17 10:16 PM,24/Feb/18 2:42 PM,,1.1,,0,Assignment,,,denisbittante,144000,144000,,0%,144000,144000,,,,{},,JWP-91,,,21,,0|i0004f:,,,,5.0,,,,,
"History has to be created for the Person, when was the Person created, connected",JWP-48,10047,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,15/Aug/16 1:15 AM,19/Jan/17 10:16 PM,24/Feb/18 2:42 PM,,1.1,,0,,,,admin,86400,86400,,0%,86400,86400,,,,{},,JWP-75,,,,,0|i000af:,,,,3.0,,,,,
Create Object,JWP-51,10201,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,17/Aug/16 6:05 PM,19/Jan/17 10:15 PM,24/Feb/18 2:42 PM,,1.1,,0,,"An Objekt is an Entity of something like a Place with or without options. 
If Options are defined the It will be defined as checkbox with multiple selections
",,admin,144000,144000,,0%,144000,144000,,,18/Aug/16 11:35 AM;admin;08-18-2016+11:34:27.JPG;https://denisbittante.atlassian.net/secure/attachment/10100/08-18-2016%2B11%3A34%3A27.JPG,{},,JWP-92,,,,,0|i000b3:,,,,5.0,,,,,
Local Read from UserSettings,JWP-56,10601,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,31/Aug/16 4:56 PM,19/Jan/17 10:15 PM,24/Feb/18 2:42 PM,,1.1,,0,,,,admin,28800,28800,,0%,28800,28800,,,,{},,JWP-87,,,,,0|i000bj:,,,,3.0,,,,,
The user want on mobile devices to see the calendar inlined cause it's easiert to handle,JWP-73,10716,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,05/Sep/16 12:13 AM,19/Jan/17 10:15 PM,24/Feb/18 2:42 PM,,1.1,,0,,,,admin,28800,28800,,0%,28800,28800,,,,{},,JWP-85,,,,,0|i000fb:,,,,1.0,,,,,
The user want to have a chance to define if Event happens in one or more days. ,JWP-69,10712,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,04/Sep/16 7:56 PM,19/Jan/17 10:14 PM,24/Feb/18 2:42 PM,,1.2,,0,,The Idea is to have a checkbox that says: is a oneday event from time to time.,,admin,28800,28800,,0%,28800,28800,,,,{},,JWP-91,,,,,0|i000b7:,,,,1.0,,,,,
Reppoting by Object ,JWP-52,10300,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,18/Aug/16 5:25 PM,19/Jan/17 10:14 PM,24/Feb/18 2:42 PM,,1.2,,0,,The programmowner wants to create reports about how often a person had a certain Object in an assignment,,admin,57600,57600,,0%,57600,57600,,,,{},,JWP-36,,,,,0|i000bb:,,,,2.0,,,,,
UserStories,JWP-43,10042,Epic,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,15/Aug/16 12:59 AM,19/Jan/17 9:57 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-11,,Business Requirement,Done,,,0|i0009b:,,,,,,,,,
Gui specific stuff ,JWP-40,10039,Epic,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,15/Aug/16 12:54 AM,19/Jan/17 9:56 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-4,,Looks,Done,,,0|i0008b:,,,,,,,,,
nice to have,JWP-41,10040,Epic,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,15/Aug/16 12:55 AM,19/Jan/17 9:53 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-7,,Nice To Have,Done,,,0|i0008a:,,,,,,,,,
The user wants to add more information to an assignment,JWP-92,13107,Epic,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,19/Jan/17 9:52 PM,19/Jan/17 9:52 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-4,,Object Extension,To Do,,,0|i00113:,,,,,,,,,
Empty auf den Seiten haben zum Problem geführt dass es oben immer viel Platz gebraucht wird,JWP-5,10004,Bug,To Do,JWP,jwprogram,software,admin,,,Medium,,,denisbittante,admin,28/Jun/16 9:21 AM,19/Jan/17 9:52 PM,24/Feb/18 2:42 PM,,1.1,,0,,,,denisbittante,,,,,,,,,,{},,JWP-85,,,5,,0|i0006j:,,,,,,,,,
History Stories,JWP-75,10718,Epic,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,05/Sep/16 1:22 AM,19/Jan/17 9:50 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-1,,History,To Do,,,0|i000fr:,,,,,,,,,
Templates erstellen können,JWP-35,10034,Epic,To Do,JWP,jwprogram,software,admin,,,Medium,,,denisbittante,admin,15/Aug/16 12:33 AM,19/Jan/17 9:46 PM,24/Feb/18 2:42 PM,,,,0,ProgramTemplate,,,denisbittante,,,,,,,,,,{},ghx-label-2,,Template,Done,35,,0|i0007j:,,,,,,,,,
The user wants to create his absences and/or manage of the person of this domain,JWP-88,13103,Epic,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,19/Jan/17 9:40 PM,19/Jan/17 9:43 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-12,,Absence,To Do,,,0|i00107:,,,,,,,,,
The language has to be saved.,JWP-54,10500,Story,To Do,JWP,jwprogram,software,admin,,,Low,,,admin,admin,30/Aug/16 8:04 AM,11/Mar/17 7:11 AM,24/Feb/18 2:42 PM,,1.0,,0,,The language has to be saved to send the right text. The language should be able to be changed in the profiles settings,,admin,28800,28800,,0%,28800,28800,,,,{},,JWP-87,,,,,0|i0006o:,JwProgra Sprint 1,JwProgra Sprint 2,,2.0,,,,,
the user should be able to define how many entries he wants to see,JWP-23,10022,Story,To Do,JWP,jwprogram,software,admin,,,Low,,,denisbittante,admin,13/Aug/16 4:03 AM,19/Jan/17 10:35 PM,24/Feb/18 2:42 PM,,1.1,,0,,,,denisbittante,144000,144000,,0%,144000,144000,,,,{},,JWP-87,,,23,,0|i0006t:,,,,5.0,,,,,
the selected menu item should been highlighted,JWP-18,10017,Story,To Do,JWP,jwprogram,software,admin,,,Low,,,denisbittante,admin,07/Aug/16 7:58 PM,19/Jan/17 10:35 PM,24/Feb/18 2:42 PM,,1.1,,0,,"The menu should have selected a class when the user is in the context of the menuitem. It's been defined already a html-class active : 
<li class=""active"">

the corresponding menu-item has to be found through jQuery.",,denisbittante,10800,10800,,0%,10800,10800,,,,{},,JWP-85,,,18,,0|i000ha:d,,,,1.0,,,,,
The user wants to sort,JWP-24,10023,Story,To Do,JWP,jwprogram,software,admin,,,Low,,,denisbittante,admin,13/Aug/16 4:11 AM,19/Jan/17 10:34 PM,24/Feb/18 2:42 PM,,1.0,,0,,,,denisbittante,57600,57600,,0%,57600,57600,,,,{},,JWP-85,,,24,,0|i00053:,,,,2.0,,,,,
WAR packing,JWP-9,10008,Story,To Do,JWP,jwprogram,software,admin,,,Lowest,,,denisbittante,admin,28/Jun/16 9:24 AM,19/Jan/17 10:34 PM,24/Feb/18 2:42 PM,,1.1,,0,,original html is not needed and maybe there is some other jar which are not needed as well.,,denisbittante,28800,28800,,0%,28800,28800,,,,{},,JWP-39,,,9,,0|i000ha:b,,,,1.0,,,,05/Jul/16 9:58 AM;denisbittante;,04/Aug/16 6:03 AM;denisbittante;
